Бит,Переменная,Описание
270.0,stBunker[1].cmdStartFeeder,Команда пуска питателя бункера 1
270.1,stBunker[1].cmdStopFeeder,Команда останова питателя бункера 1
270.2,stBunker[1].cmdEmergencyStopFeeder,Команда аварийной остановки бункера 1
270.3,stBunker[1].cmdReset,Сброс ошибок бункера 1
270.4,РЕЗЕРВ,Резерв
270.5,РЕЗЕРВ,Резерв
270.6,РЕЗЕРВ,Резерв
270.7,РЕЗЕРВ,Резерв
270.8,РЕЗЕРВ,Резерв
270.9,РЕЗЕРВ,Резерв
270.10,РЕЗЕРВ,Резерв
270.11,РЕЗЕРВ,Резерв
270.12,РЕЗЕРВ,Резерв
270.13,РЕЗЕРВ,Резерв
270.14,РЕЗЕРВ,Резерв
270.15,РЕЗЕРВ,Резерв
271.0,РЕЗЕРВ,Резерв
271.1,РЕЗЕРВ,Резерв
271.2,РЕЗЕРВ,Резерв
271.3,РЕЗЕРВ,Резерв
271.4,РЕЗЕРВ,Резерв
271.5,РЕЗЕРВ,Резерв
271.6,РЕЗЕРВ,Резерв
271.7,РЕЗЕРВ,Резерв
271.8,РЕЗЕРВ,Резерв
271.9,РЕЗЕРВ,Резерв
271.10,РЕЗЕРВ,Резерв
271.11,РЕЗЕРВ,Резерв
271.12,РЕЗЕРВ,Резерв
271.13,РЕЗЕРВ,Резерв
271.14,РЕЗЕРВ,Резерв
271.15,РЕЗЕРВ,Резерв
