Бит,Переменная,Описание
240.0,stConveyor.cmdStartConveyor,Команда пуска конвейера
240.1,stConveyor.cmdStopConveyor,Команда останова конвейера
240.2,stConveyor.cmdEmergencyStop,Команда аварийной остановки
240.3,stConveyor.cmdReset,Сброс ошибок конвейера
240.4,CONVEYOR_PRESTART_ALARM_SETTINGS.OPTION_ENABLE,Опция включения ППЗ конвейера
240.5,РЕЗЕРВ,Резерв
240.6,РЕЗЕРВ,Резерв
240.7,РЕЗЕРВ,Резерв
240.8,РЕЗЕРВ,Резерв
240.9,РЕЗЕРВ,Резерв
240.10,РЕЗЕРВ,Резерв
240.11,РЕЗЕРВ,Резерв
240.12,РЕЗЕРВ,Резерв
240.13,РЕЗЕРВ,Резерв
240.14,РЕЗЕРВ,Резерв
240.15,РЕЗЕРВ,Резерв
241.0,РЕЗЕРВ,Резерв
241.1,РЕЗЕРВ,Резерв
241.2,РЕЗЕРВ,Резерв
241.3,РЕЗЕРВ,Резерв
241.4,РЕЗЕРВ,Резерв
241.5,РЕЗЕРВ,Резерв
241.6,РЕЗЕРВ,Резерв
241.7,РЕЗЕРВ,Резерв
241.8,РЕЗЕРВ,Резерв
241.9,РЕЗЕРВ,Резерв
241.10,РЕЗЕРВ,Резерв
241.11,РЕЗЕРВ,Резерв
241.12,РЕЗЕРВ,Резерв
241.13,РЕЗЕРВ,Резерв
241.14,РЕЗЕРВ,Резерв
241.15,РЕЗЕРВ,Резерв
