Бит,Переменная,Описание
210.0,stDumper.cmdStartConveyor,Команда пуска конвейера отвала
210.1,stDumper.cmdStopConveyor,Команда останова конвейера отвала
210.2,stDumper.cmdEmergencyStop,Команда аварийной остановки
210.3,stDumper.cmdTurnLeft,Команда поворота влево
210.4,stDumper.cmdTurnRight,Команда поворота вправо
210.5,stDumper.cmdReset,Сброс ошибок отвалообразователя
210.6,DUMPER_CONVEYOR_PRESTART_ALARM_SETTINGS.OPTION_ENABLE,Опция включения ППЗ отвала
210.7,РЕЗЕРВ,Резерв
210.8,РЕЗЕРВ,Резерв
210.9,РЕЗЕРВ,Резерв
210.10,РЕЗЕРВ,Резерв
210.11,РЕЗЕРВ,Резерв
210.12,РЕЗЕРВ,Резерв
210.13,РЕЗЕРВ,Резерв
210.14,РЕЗЕРВ,Резерв
210.15,РЕЗЕРВ,Резерв
211.0,РЕЗЕРВ,Резерв
211.1,РЕЗЕРВ,Резерв
211.2,РЕЗЕРВ,Резерв
211.3,РЕЗЕРВ,Резерв
211.4,РЕЗЕРВ,Резерв
211.5,РЕЗЕРВ,Резерв
211.6,РЕЗЕРВ,Резерв
211.7,РЕЗЕРВ,Резерв
211.8,РЕЗЕРВ,Резерв
211.9,РЕЗЕРВ,Резерв
211.10,РЕЗЕРВ,Резерв
211.11,РЕЗЕРВ,Резерв
211.12,РЕЗЕРВ,Резерв
211.13,РЕЗЕРВ,Резерв
211.14,РЕЗЕРВ,Резерв
211.15,РЕЗЕРВ,Резерв
