Бит,Переменная,Описание
0.0,stCommands.cmdStartCommon,Команда общего ПУСК
0.1,stCommands.cmdStopCommon,Команда общего СТОП
0.2,stCommands.cmdEmergencyStopCommon,Команда аварийного СТОП
0.3,stCommands.cmdResetAll,Общий сброс ошибок
0.4,РЕЗЕРВ,Резерв
0.5,РЕЗЕРВ,Резерв
0.6,РЕЗЕРВ,Резерв
0.7,РЕЗЕРВ,Резерв
0.8,РЕЗЕРВ,Резерв
0.9,РЕЗЕРВ,Резерв
0.10,РЕЗЕРВ,Резерв
0.11,РЕЗЕРВ,Резерв
0.12,РЕЗЕРВ,Резерв
0.13,РЕЗЕРВ,Резерв
0.14,РЕЗЕРВ,Резерв
0.15,РЕЗЕРВ,Резерв
1.0,РЕЗЕРВ,Резерв
1.1,РЕЗЕРВ,Резерв
1.2,РЕЗЕРВ,Резерв
1.3,РЕЗЕРВ,Резерв
1.4,РЕЗЕРВ,Резерв
1.5,РЕЗЕРВ,Резерв
1.6,РЕЗЕРВ,Резерв
1.7,РЕЗЕРВ,Резерв
1.8,РЕЗЕРВ,Резерв
1.9,РЕЗЕРВ,Резерв
1.10,РЕЗЕРВ,Резерв
1.11,РЕЗЕРВ,Резерв
1.12,РЕЗЕРВ,Резерв
1.13,РЕЗЕРВ,Резерв
1.14,РЕЗЕРВ,Резерв
1.15,РЕЗЕРВ,Резерв
