Бит,Переменная,Описание
30.0,VFD_SMOOTH_SET_FREQUENCY,Опция плавного задания частоты
30.1,РЕЗЕРВ,Резерв
30.2,РЕЗЕРВ,Резерв
30.3,РЕЗЕРВ,Резерв
30.4,РЕЗЕРВ,Резерв
30.5,РЕЗЕРВ,Резерв
30.6,РЕЗЕРВ,Резерв
30.7,РЕЗЕРВ,Резерв
30.8,РЕЗЕРВ,Резерв
30.9,РЕЗЕРВ,Резерв
30.10,РЕЗЕРВ,Резерв
30.11,РЕЗЕРВ,Резерв
30.12,РЕЗЕРВ,Резерв
30.13,РЕЗЕРВ,Резерв
30.14,РЕЗЕРВ,Резерв
30.15,РЕЗЕРВ,Резерв
31.0,РЕЗЕРВ,Резерв
31.1,РЕЗЕРВ,Резерв
31.2,РЕЗЕРВ,Резерв
31.3,РЕЗЕРВ,Резерв
31.4,РЕЗЕРВ,Резерв
31.5,РЕЗЕРВ,Резерв
31.6,РЕЗЕРВ,Резерв
31.7,РЕЗЕРВ,Резерв
31.8,РЕЗЕРВ,Резерв
31.9,РЕЗЕРВ,Резерв
31.10,РЕЗЕРВ,Резерв
31.11,РЕЗЕРВ,Резерв
31.12,РЕЗЕРВ,Резерв
31.13,РЕЗЕРВ,Резерв
31.14,РЕЗЕРВ,Резерв
31.15,РЕЗЕРВ,Резерв
