Бит,Переменная,Описание
90.0,РЕЗЕРВ,Резерв
90.1,РЕЗЕРВ,Резерв
90.2,РЕЗЕРВ,Резерв
90.3,РЕЗЕРВ,Резерв
90.4,РЕЗЕРВ,Резерв
90.5,РЕЗЕРВ,Резерв
90.6,РЕЗЕРВ,Резерв
90.7,РЕЗЕРВ,Резерв
90.8,РЕЗЕРВ,Резерв
90.9,РЕЗЕРВ,Резерв
90.10,РЕЗЕРВ,Резерв
90.11,РЕЗЕРВ,Резерв
90.12,РЕЗЕРВ,Резерв
90.13,РЕЗЕРВ,Резерв
90.14,РЕЗЕРВ,Резерв
90.15,РЕЗЕРВ,Резерв
91.0,РЕЗЕРВ,Резерв
91.1,РЕЗЕРВ,Резерв
91.2,РЕЗЕРВ,Резерв
91.3,РЕЗЕРВ,Резерв
91.4,РЕЗЕРВ,Резерв
91.5,РЕЗЕРВ,Резерв
91.6,РЕЗЕРВ,Резерв
91.7,РЕЗЕРВ,Резерв
91.8,РЕЗЕРВ,Резерв
91.9,РЕЗЕРВ,Резерв
91.10,РЕЗЕРВ,Резерв
91.11,РЕЗЕРВ,Резерв
91.12,РЕЗЕРВ,Резерв
91.13,РЕЗЕРВ,Резерв
91.14,РЕЗЕРВ,Резерв
91.15,РЕЗЕРВ,Резерв
