Бит,Переменная,Описание
120.0,РЕЗЕРВ,Резерв
120.1,РЕЗЕРВ,Резерв
120.2,РЕЗЕРВ,Резерв
120.3,РЕЗЕРВ,Резерв
120.4,РЕЗЕРВ,Резерв
120.5,РЕЗЕРВ,Резерв
120.6,РЕЗЕРВ,Резерв
120.7,РЕЗЕРВ,Резерв
120.8,РЕЗЕРВ,Резерв
120.9,РЕЗЕРВ,Резерв
120.10,РЕЗЕРВ,Резерв
120.11,РЕЗЕРВ,Резерв
120.12,РЕЗЕРВ,Резерв
120.13,РЕЗЕРВ,Резерв
120.14,РЕЗЕРВ,Резерв
120.15,РЕЗЕРВ,Резерв
121.0,РЕЗЕРВ,Резерв
121.1,РЕЗЕРВ,Резерв
121.2,РЕЗЕРВ,Резерв
121.3,РЕЗЕРВ,Резерв
121.4,РЕЗЕРВ,Резерв
121.5,РЕЗЕРВ,Резерв
121.6,РЕЗЕРВ,Резерв
121.7,РЕЗЕРВ,Резерв
121.8,РЕЗЕРВ,Резерв
121.9,РЕЗЕРВ,Резерв
121.10,РЕЗЕРВ,Резерв
121.11,РЕЗЕРВ,Резерв
121.12,РЕЗЕРВ,Резерв
121.13,РЕЗЕРВ,Резерв
121.14,РЕЗЕРВ,Резерв
121.15,РЕЗЕРВ,Резерв
