Регистр,Тип,Переменная,Описание
122-123,REAL,MOTOR_VIBFEEDER_CURRENT_POINTS.LL_Value,Вибропитатель - ток LL
124-125,REAL,MOTOR_VIBFEEDER_CURRENT_POINTS.L_Value,Вибропитатель - ток L
126-127,REAL,MOTOR_VIBFEEDER_CURRENT_POINTS.H_Value,Вибропитатель - ток H
128-129,REAL,MOTOR_VIBFEEDER_CURRENT_POINTS.HH_Value,Вибропитатель - ток HH
130-131,REAL,MOTOR_VIBRATOR_CURRENT_POINTS.LL_Value,Вибратор - ток LL
132-133,REAL,MOTOR_VIBRATOR_CURRENT_POINTS.L_Value,Вибратор - ток L
134-135,REAL,MOTOR_VIBRATOR_CURRENT_POINTS.H_Value,Вибратор - ток H
136-137,REAL,MOTOR_VIBRATOR_CURRENT_POINTS.HH_Value,Вибратор - ток HH
138-139,REAL,MOTOR_CONVEYOR_CURRENT_POINTS.LL_Value,Конвейер - ток LL
140-141,REAL,MOTOR_CONVEYOR_CURRENT_POINTS.L_Value,Конвейер - ток L
142-143,REAL,MOTOR_CONVEYOR_CURRENT_POINTS.H_Value,Конвейер - ток H
144-145,REAL,MOTOR_CONVEYOR_CURRENT_POINTS.HH_Value,Конвейер - ток HH
146-147,REAL,MOTOR_ROTATION_CURRENT_POINTS.LL_Value,Поворот - ток LL
148-149,REAL,MOTOR_ROTATION_CURRENT_POINTS.L_Value,Поворот - ток L
