Бит,Переменная,Описание
60.0,РЕЗЕРВ,Резерв
60.1,РЕЗЕРВ,Резерв
60.2,РЕЗЕРВ,Резерв
60.3,РЕЗЕРВ,Резерв
60.4,РЕЗЕРВ,Резерв
60.5,РЕЗЕРВ,Резерв
60.6,РЕЗЕРВ,Резерв
60.7,РЕЗЕРВ,Резерв
60.8,РЕЗЕРВ,Резерв
60.9,РЕЗЕРВ,Резерв
60.10,РЕЗЕРВ,Резерв
60.11,РЕЗЕРВ,Резерв
60.12,РЕЗЕРВ,Резерв
60.13,РЕЗЕРВ,Резерв
60.14,РЕЗЕРВ,Резерв
60.15,РЕЗЕРВ,Резерв
61.0,РЕЗЕРВ,Резерв
61.1,РЕЗЕРВ,Резерв
61.2,РЕЗЕРВ,Резерв
61.3,РЕЗЕРВ,Резерв
61.4,РЕЗЕРВ,Резерв
61.5,РЕЗЕРВ,Резерв
61.6,РЕЗЕРВ,Резерв
61.7,РЕЗЕРВ,Резерв
61.8,РЕЗЕРВ,Резерв
61.9,РЕЗЕРВ,Резерв
61.10,РЕЗЕРВ,Резерв
61.11,РЕЗЕРВ,Резерв
61.12,РЕЗЕРВ,Резерв
61.13,РЕЗЕРВ,Резерв
61.14,РЕЗЕРВ,Резерв
61.15,РЕЗЕРВ,Резерв
