Бит,Переменная,Описание
150.0,РЕЗЕРВ,Резерв
150.1,РЕЗЕРВ,Резерв
150.2,РЕЗЕРВ,Резерв
150.3,РЕЗЕРВ,Резерв
150.4,РЕЗЕРВ,Резерв
150.5,РЕЗЕРВ,Резерв
150.6,РЕЗЕРВ,Резерв
150.7,РЕЗЕРВ,Резерв
150.8,РЕЗЕРВ,Резерв
150.9,РЕЗЕРВ,Резерв
150.10,РЕЗЕРВ,Резерв
150.11,РЕЗЕРВ,Резерв
150.12,РЕЗЕРВ,Резерв
150.13,РЕЗЕРВ,Резерв
150.14,РЕЗЕРВ,Резерв
150.15,РЕЗЕРВ,Резерв
151.0,РЕЗЕРВ,Резерв
151.1,РЕЗЕРВ,Резерв
151.2,РЕЗЕРВ,Резерв
151.3,РЕЗЕРВ,Резерв
151.4,РЕЗЕРВ,Резерв
151.5,РЕЗЕРВ,Резерв
151.6,РЕЗЕРВ,Резерв
151.7,РЕЗЕРВ,Резерв
151.8,РЕЗЕРВ,Резерв
151.9,РЕЗЕРВ,Резерв
151.10,РЕЗЕРВ,Резерв
151.11,РЕЗЕРВ,Резерв
151.12,РЕЗЕРВ,Резерв
151.13,РЕЗЕРВ,Резерв
151.14,РЕЗЕРВ,Резерв
151.15,РЕЗЕРВ,Резерв
