Регистр,Тип,Переменная,Описание
152-153,REAL,MOTOR_ROTATION_CURRENT_POINTS.H_Value,Поворот - ток H
154-155,REAL,MOTOR_ROTATION_CURRENT_POINTS.HH_Value,Поворот - ток HH
156-157,REAL,VIBRATOR_SETTINGS.TIME_ACTIVE,Виброобрушение - время активности
158-159,REAL,VIBRATOR_SETTINGS.TIME_PAUSE_VIBRATOR,Виброобрушение - пауза вибратора
160-161,REAL,VIBRATOR_SETTINGS.TIME_PAUSE_FB,Виброобрушение - пауза ФБ
162-163,REAL,PNEUMO_SETTINGS.TIME_ACTIVE,Пневмообрушение - время активности
164-165,REAL,PNEUMO_SETTINGS.TIME_PAUSE_VIBRATOR,Пневмообрушение - пауза
166-167,REAL,PNEUMO_SETTINGS.TIME_PAUSE_FB,Пневмообрушение - пауза ФБ
168-169,REAL,TIME_WAITING_FEEDBACK,Таймер ожидания обратной связи
170-171,REAL,PNEUMATIC_COLLAPSE_TIME,Время пневмообрушения
172-173,REAL,DUMPER_CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_FIRST_SIGNAL,ППЗ отвала - 1-й сигнал
174-175,REAL,DUMPER_CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_FIRST_SIGNAL_PAUSE,ППЗ отвала - пауза 1-го
176-177,REAL,DUMPER_CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_SECOND_SIGNAL,ППЗ отвала - 2-й сигнал
178-179,REAL,DUMPER_CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_SECOND_SIGNAL_PAUSE,ППЗ отвала - пауза 2-го
