Бит,Переменная,Описание
180.0,РЕЗЕРВ,Резерв
180.1,РЕЗЕРВ,Резерв
180.2,РЕЗЕРВ,Резерв
180.3,РЕЗЕРВ,Резерв
180.4,РЕЗЕРВ,Резерв
180.5,РЕЗЕРВ,Резерв
180.6,РЕЗЕРВ,Резерв
180.7,РЕЗЕРВ,Резерв
180.8,РЕЗЕРВ,Резерв
180.9,РЕЗЕРВ,Резерв
180.10,РЕЗЕРВ,Резерв
180.11,РЕЗЕРВ,Резерв
180.12,РЕЗЕРВ,Резерв
180.13,РЕЗЕРВ,Резерв
180.14,РЕЗЕРВ,Резерв
180.15,РЕЗЕРВ,Резерв
181.0,РЕЗЕРВ,Резерв
181.1,РЕЗЕРВ,Резерв
181.2,РЕЗЕРВ,Резерв
181.3,РЕЗЕРВ,Резерв
181.4,РЕЗЕРВ,Резерв
181.5,РЕЗЕРВ,Резерв
181.6,РЕЗЕРВ,Резерв
181.7,РЕЗЕРВ,Резерв
181.8,РЕЗЕРВ,Резерв
181.9,РЕЗЕРВ,Резерв
181.10,РЕЗЕРВ,Резерв
181.11,РЕЗЕРВ,Резерв
181.12,РЕЗЕРВ,Резерв
181.13,РЕЗЕРВ,Резерв
181.14,РЕЗЕРВ,Резерв
181.15,РЕЗЕРВ,Резерв
