Бит,Переменная,Описание
30.0,stBunker[1].xStateWarning,Предупреждение бункера 1
30.1,stBunker[1].xStateFailure,Авария бункера 1
30.2,stBunker[1].fbStateHatch.qxSignal,Люк закрыт (1) / открыт (0)
30.3,stBunker[1].qxLightRed,Красный свет светофора
30.4,stBunker[1].qxLightYellow,Желтый свет светофора
30.5,stBunker[1].qxLightGreen,Зеленый свет светофора
30.6,stBunker[1].fbBtnStart.qxSignal,"Кнопка ""Пуск питателя"""
30.7,stBunker[1].fbBtnStop.qxSignal,"Кнопка ""Стоп питателя"""
30.8,stBunker[1].fbBtnEmergencyStop.qxSignal,"Кнопка ""Аварийная остановка"""
30.9,РЕЗЕРВ,Резерв
30.10,РЕЗЕРВ,Резерв
30.11,РЕЗЕРВ,Резерв
30.12,РЕЗЕРВ,Резерв
30.13,РЕЗЕРВ,Резерв
30.14,РЕЗЕРВ,Резерв
30.15,РЕЗЕРВ,Резерв
31.0,РЕЗЕРВ,Резерв
31.1,РЕЗЕРВ,Резерв
31.2,РЕЗЕРВ,Резерв
31.3,РЕЗЕРВ,Резерв
31.4,РЕЗЕРВ,Резерв
31.5,РЕЗЕРВ,Резерв
31.6,РЕЗЕРВ,Резерв
31.7,РЕЗЕРВ,Резерв
31.8,РЕЗЕРВ,Резерв
31.9,РЕЗЕРВ,Резерв
31.10,РЕЗЕРВ,Резерв
31.11,РЕЗЕРВ,Резерв
31.12,РЕЗЕРВ,Резерв
31.13,РЕЗЕРВ,Резерв
31.14,РЕЗЕРВ,Резерв
31.15,РЕЗЕРВ,Резерв
