Бит,Переменная,Описание
270.0,stConveyor.xStateWarning,Предупреждение конвейера
270.1,stConveyor.xStateFailure,Авария конвейера
270.2,stConveyor.xStateEnable,Конвейер полностью запущен
270.3,stConveyor.xStateStarting,Процесс запуска
270.4,stConveyor.fbBtnStart.qxSignal,"Кнопка ""Пуск"""
270.5,stConveyor.fbBtnStop.qxSignal,"Кнопка ""Стоп"""
270.6,stConveyor.fbBtnEmergencyStop.qxSignal,"Кнопка ""Аварийная остановка"""
270.7,stConveyor.xHLA,Световая сигнализация
270.8,stConveyor.xSoundAlarm,Звуковая сигнализация
270.9,stConveyor.fbYE1.qxSignal,Металлодетектор (1 - норма)
270.10,РЕЗЕРВ,Резерв
270.11,РЕЗЕРВ,Резерв
270.12,РЕЗЕРВ,Резерв
270.13,РЕЗЕРВ,Резерв
270.14,РЕЗЕРВ,Резерв
270.15,РЕЗЕРВ,Резерв
271.0,РЕЗЕРВ,Резерв
271.1,РЕЗЕРВ,Резерв
271.2,РЕЗЕРВ,Резерв
271.3,РЕЗЕРВ,Резерв
271.4,РЕЗЕРВ,Резерв
271.5,РЕЗЕРВ,Резерв
271.6,РЕЗЕРВ,Резерв
271.7,РЕЗЕРВ,Резерв
271.8,РЕЗЕРВ,Резерв
271.9,РЕЗЕРВ,Резерв
271.10,РЕЗЕРВ,Резерв
271.11,РЕЗЕРВ,Резерв
271.12,РЕЗЕРВ,Резерв
271.13,РЕЗЕРВ,Резерв
271.14,РЕЗЕРВ,Резерв
271.15,РЕЗЕРВ,Резерв
