Бит,Переменная,Описание
210.0,stDumper.xStateWarning,Предупреждение отвала
210.1,stDumper.xStateFailure,Авария отвала
210.2,stDumper.xStateEnable,Отвал полностью запущен
210.3,stDumper.xStateStarting,Процесс запуска
210.4,stDumper.fbBtnStart.qxSignal,"Кнопка ""Пуск"""
210.5,stDumper.fbBtnStop.qxSignal,"Кнопка ""Стоп"""
210.6,stDumper.fbBtnEmergencyStop.qxSignal,"Кнопка ""Аварийная остановка"""
210.7,stDumper.fbBtnRemoteMode.qxSignal,Режим дистанционный (1) / местный (0)
210.8,stDumper.xHLA,Световая сигнализация
210.9,stDumper.xSoundAlarm,Звуковая сигнализация
210.10,РЕЗЕРВ,Резерв
210.11,РЕЗЕРВ,Резерв
210.12,РЕЗЕРВ,Резерв
210.13,РЕЗЕРВ,Резерв
210.14,РЕЗЕРВ,Резерв
210.15,РЕЗЕРВ,Резерв
211.0,РЕЗЕРВ,Резерв
211.1,РЕЗЕРВ,Резерв
211.2,РЕЗЕРВ,Резерв
211.3,РЕЗЕРВ,Резерв
211.4,РЕЗЕРВ,Резерв
211.5,РЕЗЕРВ,Резерв
211.6,РЕЗЕРВ,Резерв
211.7,РЕЗЕРВ,Резерв
211.8,РЕЗЕРВ,Резерв
211.9,РЕЗЕРВ,Резерв
211.10,РЕЗЕРВ,Резерв
211.11,РЕЗЕРВ,Резерв
211.12,РЕЗЕРВ,Резерв
211.13,РЕЗЕРВ,Резерв
211.14,РЕЗЕРВ,Резерв
211.15,РЕЗЕРВ,Резерв
