Бит,Переменная,Описание
240.0,stDumper.fbBtnTurnLeft.qxSignal,"Кнопка ""Поворот влево"""
240.1,stDumper.fbBtnTurnRight.qxSignal,"Кнопка ""Поворот вправо"""
240.2,stDumper.fbEndSwitchRight.qxSignal,Концевик крайнего правого положения
240.3,stDumper.fbEndSwitchLeft.qxSignal,Концевик крайнего левого положения
240.4,РЕЗЕРВ,Резерв
240.5,РЕЗЕРВ,Резерв
240.6,РЕЗЕРВ,Резерв
240.7,РЕЗЕРВ,Резерв
240.8,РЕЗЕРВ,Резерв
240.9,РЕЗЕРВ,Резерв
240.10,РЕЗЕРВ,Резерв
240.11,РЕЗЕРВ,Резерв
240.12,РЕЗЕРВ,Резерв
240.13,РЕЗЕРВ,Резерв
240.14,РЕЗЕРВ,Резерв
240.15,РЕЗЕРВ,Резерв
241.0,РЕЗЕРВ,Резерв
241.1,РЕЗЕРВ,Резерв
241.2,РЕЗЕРВ,Резерв
241.3,РЕЗЕРВ,Резерв
241.4,РЕЗЕРВ,Резерв
241.5,РЕЗЕРВ,Резерв
241.6,РЕЗЕРВ,Резерв
241.7,РЕЗЕРВ,Резерв
241.8,РЕЗЕРВ,Резерв
241.9,РЕЗЕРВ,Резерв
241.10,РЕЗЕРВ,Резерв
241.11,РЕЗЕРВ,Резерв
241.12,РЕЗЕРВ,Резерв
241.13,РЕЗЕРВ,Резерв
241.14,РЕЗЕРВ,Резерв
241.15,РЕЗЕРВ,Резерв
